Job id,companyId,title,contractType,Companyname,city,state,sector,viewscount,applicationsCount,dateposted
4149980852,1035,Data Engineer,Full-time,Microsoft,Redmond, WA,Software Development,678,200,04/02/25
4152194959,4030,Data Analytics Engineer Co-op,Full-time,Bose Corporation,Framingham, MA,Computers and Electronics Manufacturing and Motor Vehicle Manufacturing,678,200,04/02/25
4141579029,52160608,Data Engineer,Full-time,Whatnot,Los Angeles Metropolitan Area,CA,"Technology, Information and Internet",560,200,04/02/25
4131606335,26793,Data Engineer,Full-time,Apexon,Dallas, TX,IT Services and IT Consulting,560,200,04/02/25
4045410894,66321745,Junior Data Engineer (Remote),Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,651,25,04/02/25
4146427912,3876753,Data Engineer,Full-time,PILYTIX,Austin, TX,IT Services and IT Consulting,808,200,04/02/25
4150472828,93246786,Data Engineer,Contract,Accroid Inc,Jersey City, NJ,IT Services and IT Consulting,562,200,04/02/25
4136864033,401618,Data Engineer,Full-time,Premier Group,United States, United States,Software Development and Manufacturing,677,200,04/02/25
4130662149,74615750,Data Engineer,Full-time,Imprint,New York, NY,Financial Services,711,200,04/02/25
4066233818,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,932,200,04/02/25
4056191928,2646,Data Engineer III,Full-time,Walmart,Sunnyvale, CA,Retail,200,200,04/02/25
4147567410,66321745,Data Engineer - Entry/Remote,Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,911,33,04/02/25
4149737949,1283,Data Engineer - Python with Data Structure,Full-time,Infosys,Texas, United States,IT Services and IT Consulting,622,200,04/02/25
4150917785,5279801,"Software Engineer Co-op, AI/ML",Internship,Bose Professional,Hopkinton, MA,Internet Publishing,678,200,04/02/25
4137483462,166658,Data Engineer,Full-time,University of Notre Dame,Notre Dame, IN,Higher Education,714,200,04/02/25
4077944881,2684737,Experienced Data Engineer - Data Engineering,Full-time,Plaid,San Francisco, CA,"Software Development, Technology, Information and Internet, and Financial Services",731,200,04/02/25
4143934304,529693,Data Engineer,Full-time,TextNow,New York, NY,"Telecommunications, IT Services and IT Consulting, and Software Development",782,200,04/02/25
4151641938,18048544,Data Engineer,Full-time,Crux,New York, NY,Software Development,678,119,04/02/25
4045414243,66321745,Junior/Entry Data Engineer (Remote),Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,200,30,04/02/25
4066237448,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,789,200,04/02/25
4117095907,66321745,Data Engineer (Entry Level),Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,838,76,04/02/25
4066232907,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,658,200,04/02/25
4134210028,33246798,Data Engineer - Data Platform,Full-time,TikTok,San Jose, CA,Entertainment Providers,754,200,04/02/25
4117848871,65137,Data Engineer,Full-time,Q2,Austin, TX,Financial Services,770,200,04/02/25
4098430188,7971559,Data Engineer II,Full-time,PatientIQ,Chicago, IL,IT Services and IT Consulting,860,200,04/02/25
4145181032,28619152,Data Engineer,Full-time,PadSplit,Indiana, United States,Real Estate,917,200,04/02/25
4151647211,532234,Data Engineer,Full-time,MMG Insurance,Presque Isle, ME,Insurance,678,107,04/02/25
4139248930,10788836,Data Engineer,Full-time,VieCure,Denver Metropolitan Area,,"Software Development, IT System Custom Software Development, and Hospitals and Health Care",560,200,04/02/25
4120825524,10667,Data Engineer,Full-time,Meta,New York, NY,"Technology, Information and Internet",609,40,04/02/25
4108550319,66321745,Junior Data Engineer,Contract,SynergisticIT,Illinois, United States,IT Services and IT Consulting,972,85,04/02/25
4108503387,66321745,Junior Data Engineer,Contract,SynergisticIT,Illinois, United States,IT Services and IT Consulting,677,192,04/02/25
4052423502,66321745,Junior Data Engineer,Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,535,25,04/02/25
4139526575,85677,Data Engineer,Full-time,Georgia Pacific,Atlanta, GA,Paper and Forest Product Manufacturing,832,25,04/02/25
4151640169,361843,Big Data Engineer,Full-time,Uber Agency,Daly City, CA,Advertising Services,678,28,04/02/25
4011556532,5045143,Data Engineer,Full-time,StackAdapt,United States, United States,"Technology, Information and Internet",722,200,04/02/25
4148682774,28868872,Data Engineer II,Full-time,Astrana Health,Alhambra, CA,Hospitals and Health Care,761,200,04/02/25
4137189322,1586,"Data Engineer, F3 DASH",Full-time,Amazon,Bellevue, WA,Software Development,911,200,04/02/25
4146251839,1353,Python SQL Data Engineer,Full-time,Tata Consultancy Services,Atlanta, GA,IT Services and IT Consulting,789,163,04/02/25
4120910711,1586,"Data Engineer , Amazon Pharmacy",Full-time,Amazon,Bellevue, WA,Software Development,583,155,04/02/25
4149381337,34072,Data Engineer,Full-time,Hiebing,Madison, WI,Internet Publishing,678,200,04/02/25
4120825493,10667,"Data Engineer, Product Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",725,25,04/02/25
4133245417,3067,ETL Data Engineer,Full-time,Tech Mahindra,Jacksonville, FL,Banking,609,200,04/02/25
4120822651,10667,"Data Engineer, Product Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",742,25,04/02/25
4148243135,2433416,Data Engineer II,Full-time,Chewy,Plantation, FL,Retail,913,200,04/02/25
4066233825,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,602,200,04/02/25
4141159029,15259345,Data Engineer,Full-time,Citadel Securities,Miami, FL,Financial Services,711,200,04/02/25
4052854724,66321745,Junior Data Engineer,Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,200,103,04/02/25
4151624925,28987090,Data Engineer,Full-time,Abridge,San Francisco, CA,Hospitals and Health Care,678,82,04/02/25
4126534681,76262108,Data Engineer,Full-time,Kumo,Mountain View, CA,Software Development,535,200,04/02/25
4149943363,51634180,Data Engineer,Contract,"Global Soft Systems, Inc.",Bentonville, AR,Information Technology & Services,727,200,04/02/25
4120827290,10667,"Data Engineer, Product Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",200,25,04/02/25
4143019026,210064,Data Engineer,Full-time,Genpact,New York, United States,Business Consulting and Services,677,34,04/02/25
4137505474,15191764,"Data Engineer, 1+ Years of Experience",Full-time,Snap Inc.,Los Angeles, CA,Software Development,885,200,04/02/25
3875375343,46623,Data Engineer,Full-time,"GEI Consultants, Inc.",Ithaca, NY,Environmental Services and Renewable Energy Semiconductor Manufacturing,200,26,04/02/25
4133956837,2646,Data Engineer III (Scala/Spark),Full-time,Walmart,Sunnyvale, CA,Retail,986,200,04/02/25
4120915183,1586,"Data Engineer , Amazon Pharmacy",Full-time,Amazon,Bellevue, WA,Software Development,848,200,04/02/25
4059227646,3106804,"Associate, Data Engineer",Full-time,Avant,Greater Chicago Area,IL,Financial Services,527,200,04/02/25
4148680129,716360,Data Engineer,Full-time,"Princeton IT Services, Inc",Jersey City, NJ,Information Technology & Services,678,200,04/02/25
4113934016,1482,Data Engineer,Full-time,PayPal,San Jose, CA,"Software Development, Financial Services, and Technology, Information and Internet",756,200,04/02/25
4148902871,5234457,Data Engineer,Full-time,Hamilton Barnes 🌳,Denver, CO,IT Services and IT Consulting,972,200,04/02/25
4149500701,383369,Data Engineer (Snowflake & Python),Contract,Irvine Technology Corporation,United States, United States,Information Services,972,200,04/02/25
4024958481,66758119,Data Analytics Engineer,Full-time,Actifai,Washington, DC,Internet Publishing,686,200,04/02/25
4148829726,18059273,Data Engineer: Big Data,Contract,MNJ SOFTWARE,Home, KS,IT Services and IT Consulting,789,200,04/02/25
4148399499,96880536,Data Engineer,Full-time,Constellation Search Group,Baltimore, MD,Hospitals and Health Care,913,200,04/02/25
4137886478,10667,"Data Engineer, Product Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",603,25,04/02/25
4141636862,1821549,Data Engineer - Security,Full-time,FanDuel,Atlanta, GA,Gambling Facilities and Casinos and Spectator Sports,620,200,04/02/25
3998841067,1431,Data Engineer,Full-time,PepsiCo,Plano, TX,Manufacturing and Food and Beverage Services,681,200,04/02/25
4148967522,3042775,Data Engineer,Contract,Mondo,United States, United States,Biotechnology Research,808,200,04/02/25
4144968701,28665250,Data Engineer,Full-time,"APiJET, LLC",Seattle, WA,Airlines and Aviation,522,200,04/02/25
4129308634,66321745,Junior Data Engineer,Contract,SynergisticIT,Illinois, United States,IT Services and IT Consulting,609,76,04/02/25
3890650480,3052223,Data Engineer (United States),Full-time,Demyst,United States, United States,"Technology, Information and Internet",200,200,04/02/25
4125061634,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,572,25,04/02/25
4151644417,35478479,Software Engineer,Full-time,Middesk,New York, NY,"Technology, Information and Internet",678,26,04/02/25
4125071965,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,535,25,04/02/25
4033428093,90667110,Data Engineer,Full-time,Ccube,Alpharetta, GA,Internet Publishing,759,200,04/02/25
