companyId,companyName,companyUrl,location,sector
166658.0,University of Notre Dame,https://www.linkedin.com/school/university-of-notre-dame/?trk=public_jobs_topcard-org-name,"Notre Dame, IN",Higher Education
2684737.0,Plaid,https://www.linkedin.com/company/plaid-?trk=public_jobs_topcard-org-name,"San Francisco, CA","Software Development, Technology, Information and Internet, and Financial Services"
18048544.0,Crux,https://www.linkedin.com/company/cruxinformatics?trk=public_jobs_topcard-org-name,"New York, NY",Software Development
65137.0,Q2,https://www.linkedin.com/company/q2software?trk=public_jobs_topcard-org-name,"Austin, TX",Financial Services
7971559.0,PatientIQ,https://www.linkedin.com/company/patientiq?trk=public_jobs_topcard-org-name,"Chicago, IL",IT Services and IT Consulting
28619152.0,PadSplit,https://www.linkedin.com/company/padsplit?trk=public_jobs_topcard-org-name,"Indiana, United States",Real Estate
532234.0,MMG Insurance,https://www.linkedin.com/company/mmg-insurance?trk=public_jobs_topcard-org-name,"Presque Isle, ME",Insurance
10788836.0,VieCure,https://www.linkedin.com/company/viecure?trk=public_jobs_topcard-org-name,Denver Metropolitan Area,"Software Development, IT System Custom Software Development, and Hospitals and Health Care"
85677.0,Georgia Pacific,https://www.linkedin.com/company/georgia-pacific-2?trk=public_jobs_topcard-org-name,"Atlanta, GA",Paper and Forest Product Manufacturing
361843.0,Uber Agency,https://uk.linkedin.com/company/ubercreativedigitalagency?trk=public_jobs_topcard-org-name,"Daly City, CA",Advertising Services
5045143.0,StackAdapt,https://ca.linkedin.com/company/stackadapt?trk=public_jobs_topcard-org-name,United States,"Technology, Information and Internet"
28868872.0,Astrana Health,https://www.linkedin.com/company/astranahealth?trk=public_jobs_topcard-org-name,"Alhambra, CA",Hospitals and Health Care
1353.0,Tata Consultancy Services,https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_topcard-org-name,"Atlanta, GA",IT Services and IT Consulting
34072.0,Hiebing,https://www.linkedin.com/company/hiebing?trk=public_jobs_topcard-org-name,"Madison, WI",Internet Publishing
3067.0,Tech Mahindra,https://in.linkedin.com/company/tech-mahindra?trk=public_jobs_topcard-org-name,"Jacksonville, FL",Banking
2433416.0,Chewy,https://www.linkedin.com/company/chewy-com?trk=public_jobs_topcard-org-name,"Plantation, FL",Retail
15259345.0,Citadel Securities,https://www.linkedin.com/company/citadel-securities?trk=public_jobs_topcard-org-name,"Miami, FL",Financial Services
28987090.0,Abridge,https://www.linkedin.com/company/abridgehq?trk=public_jobs_topcard-org-name,"San Francisco, CA",Hospitals and Health Care
76262108.0,Kumo,https://www.linkedin.com/company/kumo-ai?trk=public_jobs_topcard-org-name,"Mountain View, CA",Software Development
51634180.0,"Global Soft Systems, Inc.",https://www.linkedin.com/company/global-soft-systems?trk=public_jobs_topcard-org-name,"Bentonville, AR",Information Technology & Services
210064.0,Genpact,https://www.linkedin.com/company/genpact?trk=public_jobs_topcard-org-name,"New York, United States",Business Consulting and Services
15191764.0,Snap Inc.,https://www.linkedin.com/company/snap-inc-co?trk=public_jobs_topcard-org-name,"Los Angeles, CA",Software Development
46623.0,"GEI Consultants, Inc.",https://www.linkedin.com/company/gei-consultants-inc-?trk=public_jobs_topcard-org-name,"Ithaca, NY",Environmental Services and Renewable Energy Semiconductor Manufacturing
3106804.0,Avant,https://www.linkedin.com/company/avant-us?trk=public_jobs_topcard-org-name,Greater Chicago Area,Financial Services
716360.0,"Princeton IT Services, Inc",https://www.linkedin.com/company/princeton-it-services-inc?trk=public_jobs_topcard-org-name,"Jersey City, NJ",Information Technology & Services
5234457.0,Hamilton Barnes 🌳,https://uk.linkedin.com/company/hamilton-barnes?trk=public_jobs_topcard-org-name,"Denver, CO",IT Services and IT Consulting
383369.0,Irvine Technology Corporation,https://www.linkedin.com/company/irvine-technology-corporation?trk=public_jobs_topcard-org-name,United States,Information Services
66758119.0,Actifai,https://www.linkedin.com/company/actifai?trk=public_jobs_topcard-org-name,"Washington, DC",Internet Publishing
96880536.0,Constellation Search Group,https://www.linkedin.com/company/constellation-search-group?trk=public_jobs_topcard-org-name,"Baltimore, MD",Hospitals and Health Care
1821549.0,FanDuel,https://www.linkedin.com/company/fanduel?trk=public_jobs_topcard-org-name,"Atlanta, GA",Gambling Facilities and Casinos and Spectator Sports
3042775.0,Mondo,https://www.linkedin.com/company/mondo?trk=public_jobs_topcard-org-name,United States,Biotechnology Research
3052223.0,Demyst,https://www.linkedin.com/company/demystdata?trk=public_jobs_topcard-org-name,United States,"Technology, Information and Internet"
11300833.0,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard-org-name,"Los Angeles, CA",Software Development
35478479.0,Middesk,https://www.linkedin.com/company/middesk?trk=public_jobs_topcard-org-name,"New York, NY","Technology, Information and Internet"
90667110.0,Ccube,https://www.linkedin.com/company/ccube-inc?trk=public_jobs_topcard-org-name,"Alpharetta, GA",Internet Publishing
5250800.0,Point72,https://www.linkedin.com/company/point72-asset-management-l-p-?trk=public_jobs_topcard-org-name,"Florida, United States",Financial Services
18722039.0,Canary Technologies,https://www.linkedin.com/company/canarytech?trk=public_jobs_topcard-org-name,United States,Hospitality
101021.0,Elder Research,https://www.linkedin.com/company/elder-research-inc?trk=public_jobs_topcard-org-name,United States,IT Services and IT Consulting
